รหัสนักเรียน,ชื่อ-นามสกุล,เพศ,อายุ,ระดับชั้น,โรงเรียน,เบอร์โทรติดต่อ,รหัสคอร์ส,ชื่อคอร์ส,รายวิชา,อาจารย์ผู้สอน,ราคา(บาท),จำนวนรับสูงสุด,จำนวนผู้ลงทะเบียน,ที่นั่งคงเหลือ,รหัสการลงทะเบียน,วันที่ลงทะเบียน,ส่วนลด,ยอดชำระสุทธิ (บาท),สถานะการลงทะเบียน,รหัสการชำระเงิน,จำนวนเงินที่ชำระ(บาท),ช่องทางการชำระเงิน,วันที่ชำระเงิน,สถานะการชำระเงิน
STU0023,กัญญาวีร์ ศรีเจริญ,หญิง,15,ม.4,โรงเรียนแก่นนครวิทยาลัย,093-9908762,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,23,2026-08-03,0.05,2565.0,ลงทะเบียนสำเร็จ,23.0,2565.0,เงินสด,2026-08-03,ชำระเงินแล้ว
STU0024,ณัฐวุฒิ รัตนกุล,ชาย,16,ม.4,โรงเรียนขามแก่นนคร,098-3354635,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,24,2026-07-24,0.05,2375.0,ลงทะเบียนสำเร็จ,24.0,2375.0,บัตรเครดิต,2026-07-24,ชำระเงินแล้ว
STU0025,เอกภพ อินทร์แก้ว,ชาย,16,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),081-2255500,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,25,2026-06-10,0.1,2430.0,ลงทะเบียนสำเร็จ,25.0,2430.0,พร้อมเพย์,2026-06-10,ชำระเงินแล้ว
STU0026,พิมพ์ลภัส รัตนวงศ์,หญิง,16,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),083-8601601,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,26,2026-07-29,0.0,3500.0,ลงทะเบียนสำเร็จ,26.0,3500.0,โอนธนาคาร,2026-07-29,ชำระเงินแล้ว
STU0027,อริสรา สมบูรณ์,หญิง,17,ม.6,โรงเรียนขามแก่นนคร,093-2424835,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,27,2026-07-12,0.0,3200.0,ลงทะเบียนสำเร็จ,27.0,3200.0,โอนธนาคาร,2026-07-12,ชำระเงินแล้ว
STU0028,ณิชาภา ศรีนวล,หญิง,16,ม.4,โรงเรียนขอนแก่นพัฒนศึกษา,081-7414492,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,28,2026-07-24,0.1,2520.0,ลงทะเบียนสำเร็จ,28.0,2520.0,พร้อมเพย์,2026-07-24,ชำระเงินแล้ว
STU0029,พัณณิตา ธรรมรักษ์,หญิง,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),083-2939116,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,29,2026-07-01,0.1,2520.0,ลงทะเบียนสำเร็จ,29.0,2520.0,โอนธนาคาร,2026-07-01,ชำระเงินแล้ว
STU0030,กัญญาณัฐ วัฒนชัย,หญิง,17,ม.5,โรงเรียนขอนแก่นวิทยาลัย,096-2405632,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,30,2026-08-05,0.1,2430.0,ลงทะเบียนสำเร็จ,30.0,2430.0,พร้อมเพย์,2026-08-05,ชำระเงินแล้ว
STU0031,พีรพงศ์ สายทอง,ชาย,16,ม.5,โรงเรียนกัลยาณวัตร,084-9342480,C009,ชีววิทยา A-Level,ชีววิทยา,ครูแพรว,3300,40,38,2,31,2026-07-02,0.05,3135.0,ลงทะเบียนสำเร็จ,31.0,3135.0,บัตรเครดิต,2026-07-02,ชำระเงินแล้ว
STU0032,วริศรา ชูศรี,หญิง,16,ม.5,โรงเรียนขอนแก่นวิทยายน,087-9697218,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,32,2026-08-06,0.1,2430.0,ลงทะเบียนสำเร็จ,32.0,2430.0,เงินสด,2026-08-06,ชำระเงินแล้ว
STU0033,ศุภชัย ทองคำ,ชาย,17,ม.5,โรงเรียนขามแก่นนคร,094-5204358,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,33,2026-08-16,0.0,3500.0,ลงทะเบียนสำเร็จ,33.0,3500.0,โอนธนาคาร,2026-08-16,ชำระเงินแล้ว
STU0034,กวิน มงคลชัย,ชาย,18,ม.6,โรงเรียนนครขอนแก่น,088-6309768,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,34,2026-07-14,0.0,2500.0,ลงทะเบียนสำเร็จ,34.0,2500.0,พร้อมเพย์,2026-07-14,ชำระเงินแล้ว
STU0035,ศุภชัย แก้วคำ,ชาย,15,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),083-5643866,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,35,2026-06-29,0.1,3150.0,ลงทะเบียนสำเร็จ,35.0,3150.0,โอนธนาคาร,2026-06-29,ชำระเงินแล้ว
STU0036,พีรพงศ์ รัตนชัย,ชาย,16,ม.4,โรงเรียนกัลยาณวัตร,095-7418092,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,36,2026-06-16,0.0,3400.0,ลงทะเบียนสำเร็จ,36.0,3400.0,บัตรเครดิต,2026-06-16,ชำระเงินแล้ว
STU0037,กุลจิรา รัตนกุล,หญิง,18,ม.6,โรงเรียนขามแก่นนคร,083-1528243,C009,ชีววิทยา A-Level,ชีววิทยา,ครูแพรว,3300,40,38,2,37,2026-06-30,0.0,3300.0,ลงทะเบียนสำเร็จ,37.0,3300.0,โอนธนาคาร,2026-06-30,ชำระเงินแล้ว
STU0038,สุชาดา รัตนชัย,หญิง,17,ม.6,โรงเรียนขอนแก่นพัฒนศึกษา,093-6184668,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,38,2026-07-24,0.0,2700.0,ลงทะเบียนสำเร็จ,38.0,2700.0,บัตรเครดิต,2026-07-24,ชำระเงินแล้ว
STU0039,ชยุต วัฒนชัย,ชาย,17,ม.6,โรงเรียนกัลยาณวัตร,081-5469660,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,39,2026-08-02,0.1,3060.0,ลงทะเบียนสำเร็จ,39.0,3060.0,พร้อมเพย์,2026-08-02,ชำระเงินแล้ว
STU0040,รวิภาส บุญส่ง,ชาย,15,ม.4,โรงเรียนขอนแก่นวิทยาลัย,084-9982380,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,40,2026-07-18,0.0,3500.0,ลงทะเบียนสำเร็จ,40.0,3500.0,เงินสด,2026-07-18,ชำระเงินแล้ว
STU0041,ชนัญชิดา พงษ์ศรี,หญิง,15,ม.4,โรงเรียนแก่นนครวิทยาลัย,086-1180634,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,41,2026-06-29,0.0,2800.0,ลงทะเบียนสำเร็จ,41.0,2800.0,เงินสด,2026-06-29,ชำระเงินแล้ว
STU0042,กมลชนก พรหมรักษา,หญิง,17,ม.6,โรงเรียนแก่นนครวิทยาลัย,093-9731248,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,42,2026-07-02,0.1,2880.0,ลงทะเบียนสำเร็จ,42.0,2880.0,พร้อมเพย์,2026-07-02,ชำระเงินแล้ว
STU0043,ภูริณัฐ ศรีสมบัติ,ชาย,16,ม.5,โรงเรียนนครขอนแก่น,085-8558185,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,43,2026-08-04,0.0,2700.0,ลงทะเบียนสำเร็จ,43.0,2700.0,พร้อมเพย์,2026-08-04,ชำระเงินแล้ว
STU0044,กัญญาณัฐ แก้วใส,หญิง,15,ม.4,โรงเรียนขามแก่นนคร,096-6477212,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,44,2026-08-18,0.1,2880.0,ลงทะเบียนสำเร็จ,44.0,2880.0,บัตรเครดิต,2026-08-18,ชำระเงินแล้ว
STU0045,นราวิชญ์ ศรีบุญเรือง,ชาย,15,ม.4,โรงเรียนนครขอนแก่น,083-6198547,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,45,2026-07-23,0.05,3040.0,ลงทะเบียนสำเร็จ,45.0,3040.0,โอนธนาคาร,2026-07-23,ชำระเงินแล้ว
STU0046,ชญาดา แก้วใส,หญิง,16,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),082-8397094,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,46,2026-07-18,0.1,2430.0,ลงทะเบียนสำเร็จ,46.0,2430.0,โอนธนาคาร,2026-07-18,ชำระเงินแล้ว
STU0047,กุลธิดา บุญชู,หญิง,18,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),087-2074695,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,47,2026-06-16,0.05,3325.0,ลงทะเบียนสำเร็จ,47.0,3325.0,โอนธนาคาร,2026-06-16,ชำระเงินแล้ว
STU0048,รินรดา บุญธรรม,หญิง,15,ม.4,โรงเรียนขอนแก่นวิทยายน,097-3494361,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,48,2026-07-30,0.05,2375.0,ลงทะเบียนสำเร็จ,48.0,2375.0,โอนธนาคาร,2026-07-30,ชำระเงินแล้ว
STU0049,ศศิธร สุขสันต์,หญิง,16,ม.5,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,099-5868239,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,49,2026-07-05,0.1,3150.0,ลงทะเบียนสำเร็จ,49.0,3150.0,โอนธนาคาร,2026-07-05,ชำระเงินแล้ว
STU0050,พีรวิชญ์ สุริยะ,ชาย,18,ม.6,โรงเรียนขอนแก่นพัฒนศึกษา,087-6107924,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,50,2026-07-20,0.05,2565.0,ลงทะเบียนสำเร็จ,50.0,2565.0,โอนธนาคาร,2026-07-20,ชำระเงินแล้ว
STU0051,กฤติน ศรีนวล,ชาย,18,ม.6,โรงเรียนกัลยาณวัตร,095-9990971,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,51,2026-07-20,0.05,2660.0,ลงทะเบียนสำเร็จ,51.0,2660.0,โอนธนาคาร,2026-07-20,ชำระเงินแล้ว
STU0052,ภูวดล สุริยะ,ชาย,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),099-1737407,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,52,2026-06-13,0.1,3150.0,ลงทะเบียนสำเร็จ,52.0,3150.0,พร้อมเพย์,2026-06-13,ชำระเงินแล้ว
STU0053,นภัสสร เจริญสุข,หญิง,17,ม.6,โรงเรียนขอนแก่นวิทยายน,083-8699649,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,53,2026-08-15,0.05,2565.0,ลงทะเบียนสำเร็จ,53.0,2565.0,บัตรเครดิต,2026-08-15,ชำระเงินแล้ว
STU0054,ปิยธิดา พงษ์ศรี,หญิง,17,ม.5,โรงเรียนขอนแก่นวิทยาลัย,085-6698898,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,54,2026-06-15,0.1,3150.0,ลงทะเบียนสำเร็จ,54.0,3150.0,เงินสด,2026-06-15,ชำระเงินแล้ว
STU0055,ธัญชนก ไพศาล,หญิง,17,ม.5,โรงเรียนนครขอนแก่น,081-5365813,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,55,2026-08-07,0.1,2430.0,ลงทะเบียนสำเร็จ,55.0,2430.0,บัตรเครดิต,2026-08-07,ชำระเงินแล้ว
STU0056,ณัฐพงศ์ ไพศาล,ชาย,17,ม.6,โรงเรียนขอนแก่นวิทยายน,088-1198520,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,56,2026-07-03,0.1,2520.0,ลงทะเบียนสำเร็จ,56.0,2520.0,พร้อมเพย์,2026-07-03,ชำระเงินแล้ว
STU0057,ปิยธิดา ศรีนวล,หญิง,17,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),097-3059962,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,57,2026-06-13,0.0,3400.0,ลงทะเบียนสำเร็จ,57.0,3400.0,เงินสด,2026-06-13,ชำระเงินแล้ว
STU0058,พัชรินทร์ เจริญทรัพย์,หญิง,17,ม.6,โรงเรียนนครขอนแก่น,081-7303807,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,58,2026-07-31,0.05,2660.0,ลงทะเบียนสำเร็จ,58.0,2660.0,พร้อมเพย์,2026-07-31,ชำระเงินแล้ว
STU0059,รินรดา ธรรมวงศ์,หญิง,17,ม.6,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,087-9885532,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,59,2026-07-25,0.05,2565.0,ลงทะเบียนสำเร็จ,59.0,2565.0,เงินสด,2026-07-25,ชำระเงินแล้ว
STU0060,ปวริศ แก้วคำ,ชาย,17,ม.6,โรงเรียนขอนแก่นวิทยายน,092-6284628,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,60,2026-08-01,0.05,2375.0,ลงทะเบียนสำเร็จ,60.0,2375.0,พร้อมเพย์,2026-08-01,ชำระเงินแล้ว
STU0061,ชยพล รัตนวงศ์,ชาย,15,ม.4,โรงเรียนกัลยาณวัตร,085-2478817,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,61,2026-08-12,0.0,2800.0,ลงทะเบียนสำเร็จ,61.0,2800.0,เงินสด,2026-08-12,ชำระเงินแล้ว
STU0062,ภัทรวดี บุญเลิศ,หญิง,16,ม.5,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,085-4366278,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,62,2026-06-25,0.05,3325.0,ลงทะเบียนสำเร็จ,62.0,3325.0,พร้อมเพย์,2026-06-25,ชำระเงินแล้ว
STU0063,ธัญชนก วงศ์สุวรรณ,หญิง,17,ม.6,โรงเรียนขอนแก่นพัฒนศึกษา,093-7062000,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,63,2026-07-24,0.0,2800.0,ลงทะเบียนสำเร็จ,63.0,2800.0,โอนธนาคาร,2026-07-24,ชำระเงินแล้ว
STU0064,ธีรเดช ไพศาล,ชาย,18,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),097-2781292,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,64,2026-08-17,0.0,2800.0,ลงทะเบียนสำเร็จ,64.0,2800.0,โอนธนาคาร,2026-08-17,ชำระเงินแล้ว
STU0065,ศุภกร ไพศาล,ชาย,16,ม.4,โรงเรียนขอนแก่นวิทยายน,084-4421109,C009,ชีววิทยา A-Level,ชีววิทยา,ครูแพรว,3300,40,38,2,65,2026-07-01,0.0,3300.0,ลงทะเบียนสำเร็จ,65.0,3300.0,พร้อมเพย์,2026-07-01,ชำระเงินแล้ว
STU0066,พงศกร วิไลวรรณ,ชาย,16,ม.4,โรงเรียนขอนแก่นพัฒนศึกษา,082-3255701,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,66,2026-08-16,0.05,3230.0,ลงทะเบียนสำเร็จ,66.0,3230.0,โอนธนาคาร,2026-08-16,ชำระเงินแล้ว
STU0067,พิมพ์ลภัส พรมมา,หญิง,15,ม.4,โรงเรียนขอนแก่นวิทยาลัย,095-9645083,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,67,2026-07-11,0.05,3230.0,ลงทะเบียนสำเร็จ,67.0,3230.0,พร้อมเพย์,2026-07-11,ชำระเงินแล้ว
STU0068,พัณณิตา เจริญวงศ์,หญิง,16,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),082-4359989,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,68,2026-07-24,0.1,2520.0,ลงทะเบียนสำเร็จ,68.0,2520.0,พร้อมเพย์,2026-07-24,ชำระเงินแล้ว
STU0069,สิรภพ เจริญวงศ์,ชาย,17,ม.5,โรงเรียนนครขอนแก่น,087-3769526,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,69,2026-07-04,0.05,3230.0,ลงทะเบียนสำเร็จ,69.0,3230.0,บัตรเครดิต,2026-07-04,ชำระเงินแล้ว
STU0070,วชิรวิทย์ ศรีสวัสดิ์,ชาย,17,ม.6,โรงเรียนนครขอนแก่น,087-9460560,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,70,2026-08-19,0.05,2565.0,ลงทะเบียนสำเร็จ,70.0,2565.0,บัตรเครดิต,2026-08-19,ชำระเงินแล้ว
STU0071,วรัญญา วัฒนกุล,หญิง,17,ม.5,โรงเรียนนครขอนแก่น,085-6534983,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,71,2026-06-17,0.0,3200.0,ลงทะเบียนสำเร็จ,71.0,3200.0,โอนธนาคาร,2026-06-17,ชำระเงินแล้ว
